node1	node2	score	network_id	edge_type
AT2G36910	AT1G05180	1	BIOGRID	PPI
AT4G02510	AT1G06950	1	BIOGRID	PPI
AT2G16640	AT1G06950	1	BIOGRID	PPI
AT2G16640	AT3G16620	1	BIOGRID	PPI
AT3G16620	AT1G06950	1	BIOGRID	PPI
AT1G06950	AT5G16620	1	BIOGRID	PPI
AT1G02280	AT1G06950	1	BIOGRID	PPI
AT1G02280	AT4G02510	1	BIOGRID	PPI
AT5G16620	AT5G50920	1	BIOGRID	PPI
AT2G18790	AT1G09570	1	BIOGRID	PPI
AT5G57360	AT4G02570	1	BIOGRID	PPI
AT5G57360	AT5G20570	1	BIOGRID	PPI
AT1G06950	AT4G23430	1	BIOGRID	PPI
AT4G23430	AT1G06950	1	BIOGRID	PPI
AT4G23430	AT5G16620	1	BIOGRID	PPI
AT4G23430	AT3G23710	1	BIOGRID	PPI
AT1G06950	AT4G23430	1	BIOGRID	PPI
AT1G06950	AT5G16620	1	BIOGRID	PPI
AT1G06950	AT3G23710	1	BIOGRID	PPI
AT2G39940	AT4G34210	1	BIOGRID	PPI
AT2G39940	AT4G34470	1	BIOGRID	PPI
AT2G39940	AT1G75950	1	BIOGRID	PPI
AT2G39940	AT5G42190	1	BIOGRID	PPI
AT2G25490	AT1G75950	1	BIOGRID	PPI
AT2G25490	AT5G42190	1	BIOGRID	PPI
AT2G25490	AT4G34210	1	BIOGRID	PPI
AT2G25490	AT4G34470	1	BIOGRID	PPI
AT1G68050	AT1G75950	1	BIOGRID	PPI
AT1G68050	AT5G42190	1	BIOGRID	PPI
AT1G68050	AT2G25700	1	BIOGRID	PPI
AT1G68050	AT4G34210	1	BIOGRID	PPI
AT1G68050	AT4G34470	1	BIOGRID	PPI
AT1G68050	AT3G60010	1	BIOGRID	PPI
AT4G39550	AT3G60010	1	BIOGRID	PPI
AT4G39550	AT2G03170	1	BIOGRID	PPI
AT3G61590	AT1G75950	1	BIOGRID	PPI
AT3G61590	AT5G42190	1	BIOGRID	PPI
AT3G61590	AT2G25700	1	BIOGRID	PPI
AT3G61590	AT3G21850	1	BIOGRID	PPI
AT3G61590	AT4G34210	1	BIOGRID	PPI
AT3G61590	AT4G34470	1	BIOGRID	PPI
AT3G61590	AT3G60010	1	BIOGRID	PPI
AT3G61590	AT2G03170	1	BIOGRID	PPI
AT3G61590	AT2G03190	1	BIOGRID	PPI
AT3G61590	AT1G10230	1	BIOGRID	PPI
AT5G49610	AT1G75950	1	BIOGRID	PPI
AT5G49610	AT5G42190	1	BIOGRID	PPI
AT5G49610	AT4G34210	1	BIOGRID	PPI
AT5G49610	AT4G34470	1	BIOGRID	PPI
AT5G49610	AT3G60010	1	BIOGRID	PPI
AT5G49610	AT2G03170	1	BIOGRID	PPI
AT5G49610	AT1G10230	1	BIOGRID	PPI
AT2G02360	AT5G42190	1	BIOGRID	PPI
AT2G02360	AT4G34210	1	BIOGRID	PPI
AT2G02360	AT4G34470	1	BIOGRID	PPI
AT1G75950	AT1G68050	1	BIOGRID	PPI
AT1G75950	AT3G61590	1	BIOGRID	PPI
AT5G42190	AT2G39940	1	BIOGRID	PPI
AT5G42190	AT1G68050	1	BIOGRID	PPI
AT5G42190	AT3G61590	1	BIOGRID	PPI
AT2G25700	AT1G68050	1	BIOGRID	PPI
AT2G25700	AT3G61590	1	BIOGRID	PPI
AT4G34210	AT2G39940	1	BIOGRID	PPI
AT4G34210	AT2G25490	1	BIOGRID	PPI
AT4G34210	AT3G61590	1	BIOGRID	PPI
AT4G34470	AT2G39940	1	BIOGRID	PPI
AT4G34470	AT2G25490	1	BIOGRID	PPI
AT4G34470	AT3G61590	1	BIOGRID	PPI
AT3G60010	AT3G61590	1	BIOGRID	PPI
AT2G03170	AT3G61590	1	BIOGRID	PPI
AT2G03190	AT3G61590	1	BIOGRID	PPI
AT3G22380	AT2G25930	1	BIOGRID	PPI
