node1	node2	score	edge_type
AT1G34120	AT5G63990	1	Metabolic-AraCyc
AT1G34120	AT4G05090	1	Metabolic-AraCyc
AT1G13680	AT2G31830	1	Metabolic-AraCyc
AT3G47290	AT2G31830	1	Metabolic-AraCyc
AT1G13680	AT1G05630	1	Metabolic-AraCyc
AT1G13680	AT4G18010	1	Metabolic-AraCyc
AT1G13680	AT2G43900	1	Metabolic-AraCyc
AT1G13680	AT1G34120	1	Metabolic-AraCyc
AT3G08510	AT2G31830	1	Metabolic-AraCyc
AT3G08510	AT1G05630	1	Metabolic-AraCyc
AT3G08510	AT4G18010	1	Metabolic-AraCyc
AT3G08510	AT2G43900	1	Metabolic-AraCyc
AT3G08510	AT1G34120	1	Metabolic-AraCyc
AT4G13290	AT3G44300	1	Metabolic-AraCyc
AT4G13290	AT3G44310	1	Metabolic-AraCyc
AT4G13290	AT3G44320	1	Metabolic-AraCyc
AT4G13290	AT5G22300	1	Metabolic-AraCyc
AT3G26150	AT1G13090	1	Metabolic-AraCyc
AT3G26150	AT3G26280	1	Metabolic-AraCyc
AT3G26150	AT5G35715	1	Metabolic-AraCyc
AT3G26150	AT3G53300	1	Metabolic-AraCyc
AT3G26150	AT3G53290	1	Metabolic-AraCyc
AT3G26150	AT3G53280	1	Metabolic-AraCyc
AT3G26150	AT3G44250	1	Metabolic-AraCyc
AT3G26150	AT3G26270	1	Metabolic-AraCyc
AT3G26150	AT3G26230	1	Metabolic-AraCyc
AT3G26150	AT3G26220	1	Metabolic-AraCyc
AT3G26150	AT3G26210	1	Metabolic-AraCyc
AT3G26150	AT3G26200	1	Metabolic-AraCyc
AT3G26150	AT3G26190	1	Metabolic-AraCyc
AT3G26150	AT3G26180	1	Metabolic-AraCyc
AT3G26150	AT3G26170	1	Metabolic-AraCyc
AT3G26150	AT3G26160	1	Metabolic-AraCyc
AT3G26150	AT1G13110	1	Metabolic-AraCyc
AT3G26150	AT1G13100	1	Metabolic-AraCyc
AT3G26150	AT1G13080	1	Metabolic-AraCyc
AT3G26150	AT3G26830	1	Metabolic-AraCyc
AT3G26170	AT1G13090	1	Metabolic-AraCyc
AT3G53300	AT3G26830	1	Metabolic-AraCyc
AT3G53300	AT1G13080	1	Metabolic-AraCyc
AT3G53300	AT1G13100	1	Metabolic-AraCyc
AT3G53300	AT3G44250	1	Metabolic-AraCyc
AT3G26160	AT1G13110	1	Metabolic-AraCyc
AT3G26160	AT1G13100	1	Metabolic-AraCyc
AT3G26160	AT1G13080	1	Metabolic-AraCyc
AT3G26160	AT3G26830	1	Metabolic-AraCyc
AT3G53300	AT1G13090	1	Metabolic-AraCyc
AT3G53300	AT3G26280	1	Metabolic-AraCyc
AT3G53300	AT5G35715	1	Metabolic-AraCyc
